event,file_size,storage_mode,max_erasures,time
finished,102400,erasure_coding_rs,1,0.0035660266876220703
erasure_write,102400,erasure_coding_rs,1,0.002986907958984375
finished,102400,erasure_coding_rs,1,0.003480672836303711
erasure_write,102400,erasure_coding_rs,1,0.003147602081298828
finished,102400,erasure_coding_rs,1,0.0037021636962890625
erasure_write,102400,erasure_coding_rs,1,0.002978086471557617
finished,102400,erasure_coding_rs,1,0.003443479537963867
erasure_write,102400,erasure_coding_rs,1,0.0030279159545898438
finished,102400,erasure_coding_rs,1,0.003543376922607422
erasure_write,102400,erasure_coding_rs,1,0.0031104087829589844
finished,102400,erasure_coding_rs,1,0.003612995147705078
erasure_write,102400,erasure_coding_rs,1,0.003130674362182617
finished,102400,erasure_coding_rs,1,0.0038619041442871094
erasure_write,102400,erasure_coding_rs,1,0.003824949264526367
finished,102400,erasure_coding_rs,1,0.004544973373413086
erasure_write,102400,erasure_coding_rs,1,0.003249645233154297
finished,102400,erasure_coding_rs,1,0.0038213729858398438
erasure_write,102400,erasure_coding_rs,1,0.0030868053436279297
finished,102400,erasure_coding_rs,1,0.003671884536743164
erasure_write,102400,erasure_coding_rs,1,0.002990245819091797
finished,102400,erasure_coding_rs,1,0.0034584999084472656
erasure_write,102400,erasure_coding_rs,1,0.0030031204223632812
finished,102400,erasure_coding_rs,1,0.0034935474395751953
erasure_write,102400,erasure_coding_rs,1,0.003645658493041992
finished,102400,erasure_coding_rs,1,0.00436711311340332
erasure_write,102400,erasure_coding_rs,1,0.002876758575439453
finished,102400,erasure_coding_rs,1,0.0034143924713134766
erasure_write,102400,erasure_coding_rs,1,0.0034818649291992188
finished,102400,erasure_coding_rs,1,0.004323244094848633
erasure_write,102400,erasure_coding_rs,1,0.0029163360595703125
finished,102400,erasure_coding_rs,1,0.0035088062286376953
erasure_write,102400,erasure_coding_rs,1,0.0038132667541503906
finished,102400,erasure_coding_rs,1,0.004499673843383789
erasure_write,102400,erasure_coding_rs,1,0.003094196319580078
finished,102400,erasure_coding_rs,1,0.003664255142211914
erasure_write,102400,erasure_coding_rs,1,0.003452301025390625
finished,102400,erasure_coding_rs,1,0.004075050354003906
erasure_write,102400,erasure_coding_rs,1,0.0036470890045166016
finished,102400,erasure_coding_rs,1,0.004334449768066406
erasure_write,102400,erasure_coding_rs,1,0.002916574478149414
finished,102400,erasure_coding_rs,1,0.003537893295288086
erasure_write,102400,erasure_coding_rs,1,0.00305938720703125
finished,102400,erasure_coding_rs,1,0.003744840621948242
erasure_write,102400,erasure_coding_rs,1,0.003873586654663086
finished,102400,erasure_coding_rs,1,0.004483222961425781
erasure_write,102400,erasure_coding_rs,1,0.0030503273010253906
finished,102400,erasure_coding_rs,1,0.0036928653717041016
erasure_write,102400,erasure_coding_rs,1,0.003021717071533203
finished,102400,erasure_coding_rs,1,0.0036916732788085938
erasure_write,102400,erasure_coding_rs,1,0.0037889480590820312
finished,102400,erasure_coding_rs,1,0.004709482192993164
erasure_write,102400,erasure_coding_rs,1,0.0036385059356689453
finished,102400,erasure_coding_rs,1,0.004172563552856445
erasure_write,102400,erasure_coding_rs,1,0.003083944320678711
finished,102400,erasure_coding_rs,1,0.003626585006713867
erasure_write,102400,erasure_coding_rs,1,0.003756284713745117
finished,102400,erasure_coding_rs,1,0.004439115524291992
erasure_write,102400,erasure_coding_rs,1,0.0031206607818603516
finished,102400,erasure_coding_rs,1,0.0036313533782958984
erasure_write,102400,erasure_coding_rs,1,0.002931356430053711
finished,102400,erasure_coding_rs,1,0.0034444332122802734
erasure_write,102400,erasure_coding_rs,1,0.002981424331665039
finished,102400,erasure_coding_rs,1,0.003638744354248047
erasure_write,102400,erasure_coding_rs,1,0.0029463768005371094
finished,102400,erasure_coding_rs,1,0.003537893295288086
erasure_write,102400,erasure_coding_rs,1,0.0030438899993896484
finished,102400,erasure_coding_rs,1,0.003623485565185547
erasure_write,102400,erasure_coding_rs,1,0.003091573715209961
finished,102400,erasure_coding_rs,1,0.003718137741088867
erasure_write,102400,erasure_coding_rs,1,0.0029659271240234375
finished,102400,erasure_coding_rs,1,0.0035247802734375
erasure_write,102400,erasure_coding_rs,1,0.0034661293029785156
finished,102400,erasure_coding_rs,1,0.004025459289550781
erasure_write,102400,erasure_coding_rs,1,0.0032863616943359375
finished,102400,erasure_coding_rs,1,0.00392913818359375
erasure_write,102400,erasure_coding_rs,1,0.003300905227661133
finished,102400,erasure_coding_rs,1,0.003887653350830078
erasure_write,102400,erasure_coding_rs,1,0.0030798912048339844
finished,102400,erasure_coding_rs,1,0.003621816635131836
erasure_write,102400,erasure_coding_rs,1,0.0030670166015625
finished,102400,erasure_coding_rs,1,0.0037047863006591797
erasure_write,102400,erasure_coding_rs,1,0.0030412673950195312
finished,102400,erasure_coding_rs,1,0.003591299057006836
erasure_write,102400,erasure_coding_rs,1,0.004186391830444336
finished,102400,erasure_coding_rs,1,0.004913330078125
erasure_write,102400,erasure_coding_rs,1,0.003858804702758789
finished,102400,erasure_coding_rs,1,0.004640102386474609
erasure_write,102400,erasure_coding_rs,1,0.003103971481323242
finished,102400,erasure_coding_rs,1,0.003681659698486328
erasure_write,102400,erasure_coding_rs,1,0.0031943321228027344
finished,102400,erasure_coding_rs,1,0.003830432891845703
erasure_write,102400,erasure_coding_rs,1,0.0031919479370117188
finished,102400,erasure_coding_rs,1,0.0037903785705566406
erasure_write,102400,erasure_coding_rs,1,0.003065347671508789
finished,102400,erasure_coding_rs,1,0.003637552261352539
erasure_write,102400,erasure_coding_rs,1,0.0035331249237060547
finished,102400,erasure_coding_rs,1,0.004210948944091797
erasure_write,102400,erasure_coding_rs,1,0.003045320510864258
finished,102400,erasure_coding_rs,1,0.0036623477935791016
erasure_write,102400,erasure_coding_rs,1,0.0037965774536132812
finished,102400,erasure_coding_rs,1,0.004349231719970703
erasure_write,102400,erasure_coding_rs,1,0.0030536651611328125
finished,102400,erasure_coding_rs,1,0.0036458969116210938
erasure_write,102400,erasure_coding_rs,1,0.0029566287994384766
finished,102400,erasure_coding_rs,1,0.0034906864166259766
erasure_write,102400,erasure_coding_rs,1,0.0030612945556640625
finished,102400,erasure_coding_rs,1,0.004015922546386719
erasure_write,102400,erasure_coding_rs,1,0.0030121803283691406
finished,102400,erasure_coding_rs,1,0.003612041473388672
erasure_write,102400,erasure_coding_rs,1,0.0030095577239990234
finished,102400,erasure_coding_rs,1,0.0036041736602783203
erasure_write,102400,erasure_coding_rs,1,0.003115415573120117
finished,102400,erasure_coding_rs,1,0.0037250518798828125
erasure_write,102400,erasure_coding_rs,1,0.003004312515258789
finished,102400,erasure_coding_rs,1,0.0036079883575439453
erasure_write,102400,erasure_coding_rs,1,0.003038644790649414
finished,102400,erasure_coding_rs,1,0.0036089420318603516
erasure_write,102400,erasure_coding_rs,1,0.004159450531005859
finished,102400,erasure_coding_rs,1,0.004942655563354492
erasure_write,102400,erasure_coding_rs,1,0.0030260086059570312
finished,102400,erasure_coding_rs,1,0.0038785934448242188
erasure_write,102400,erasure_coding_rs,1,0.0030829906463623047
finished,102400,erasure_coding_rs,1,0.0036759376525878906
erasure_write,102400,erasure_coding_rs,1,0.0034782886505126953
finished,102400,erasure_coding_rs,1,0.0041120052337646484
erasure_write,102400,erasure_coding_rs,1,0.0035295486450195312
finished,102400,erasure_coding_rs,1,0.0041103363037109375
erasure_write,102400,erasure_coding_rs,1,0.003077983856201172
finished,102400,erasure_coding_rs,1,0.0036242008209228516
erasure_write,102400,erasure_coding_rs,1,0.0035178661346435547
finished,102400,erasure_coding_rs,1,0.004210948944091797
erasure_write,102400,erasure_coding_rs,1,0.003162860870361328
finished,102400,erasure_coding_rs,1,0.003767728805541992
erasure_write,1048576,erasure_coding_rs,1,0.005842924118041992
finished,1048576,erasure_coding_rs,1,0.0064983367919921875
erasure_write,1048576,erasure_coding_rs,1,0.005551576614379883
finished,1048576,erasure_coding_rs,1,0.0062024593353271484
erasure_write,1048576,erasure_coding_rs,1,0.006001949310302734
finished,1048576,erasure_coding_rs,1,0.007018089294433594
erasure_write,1048576,erasure_coding_rs,1,0.00502324104309082
finished,1048576,erasure_coding_rs,1,0.0057048797607421875
erasure_write,1048576,erasure_coding_rs,1,0.005949497222900391
finished,1048576,erasure_coding_rs,1,0.006655216217041016
erasure_write,1048576,erasure_coding_rs,1,0.005712032318115234
finished,1048576,erasure_coding_rs,1,0.006520748138427734
erasure_write,1048576,erasure_coding_rs,1,0.0053517818450927734
finished,1048576,erasure_coding_rs,1,0.0060939788818359375
erasure_write,1048576,erasure_coding_rs,1,0.0065059661865234375
finished,1048576,erasure_coding_rs,1,0.0072154998779296875
erasure_write,1048576,erasure_coding_rs,1,0.005908966064453125
finished,1048576,erasure_coding_rs,1,0.00664210319519043
erasure_write,1048576,erasure_coding_rs,1,0.005921840667724609
finished,1048576,erasure_coding_rs,1,0.006940603256225586
erasure_write,1048576,erasure_coding_rs,1,0.00634002685546875
finished,1048576,erasure_coding_rs,1,0.0070302486419677734
erasure_write,1048576,erasure_coding_rs,1,0.006139278411865234
finished,1048576,erasure_coding_rs,1,0.006810426712036133
erasure_write,1048576,erasure_coding_rs,1,0.004857063293457031
finished,1048576,erasure_coding_rs,1,0.0055048465728759766
erasure_write,1048576,erasure_coding_rs,1,0.005563020706176758
finished,1048576,erasure_coding_rs,1,0.006241321563720703
erasure_write,1048576,erasure_coding_rs,1,0.006492137908935547
finished,1048576,erasure_coding_rs,1,0.007178544998168945
erasure_write,1048576,erasure_coding_rs,1,0.006220817565917969
finished,1048576,erasure_coding_rs,1,0.007035970687866211
erasure_write,1048576,erasure_coding_rs,1,0.0068280696868896484
finished,1048576,erasure_coding_rs,1,0.007552385330200195
erasure_write,1048576,erasure_coding_rs,1,0.006045103073120117
finished,1048576,erasure_coding_rs,1,0.006852865219116211
erasure_write,1048576,erasure_coding_rs,1,0.0056514739990234375
finished,1048576,erasure_coding_rs,1,0.006650447845458984
erasure_write,1048576,erasure_coding_rs,1,0.006022453308105469
finished,1048576,erasure_coding_rs,1,0.006887674331665039
erasure_write,1048576,erasure_coding_rs,1,0.005541801452636719
finished,1048576,erasure_coding_rs,1,0.006243228912353516
erasure_write,1048576,erasure_coding_rs,1,0.007950067520141602
finished,1048576,erasure_coding_rs,1,0.00876164436340332
erasure_write,1048576,erasure_coding_rs,1,0.0073359012603759766
finished,1048576,erasure_coding_rs,1,0.008124351501464844
erasure_write,1048576,erasure_coding_rs,1,0.0075037479400634766
finished,1048576,erasure_coding_rs,1,0.008279085159301758
erasure_write,1048576,erasure_coding_rs,1,0.007420063018798828
finished,1048576,erasure_coding_rs,1,0.008215188980102539
erasure_write,1048576,erasure_coding_rs,1,0.006036281585693359
finished,1048576,erasure_coding_rs,1,0.006830453872680664
erasure_write,1048576,erasure_coding_rs,1,0.00735926628112793
finished,1048576,erasure_coding_rs,1,0.008211612701416016
erasure_write,1048576,erasure_coding_rs,1,0.005757331848144531
finished,1048576,erasure_coding_rs,1,0.00649571418762207
erasure_write,1048576,erasure_coding_rs,1,0.005587100982666016
finished,1048576,erasure_coding_rs,1,0.006311178207397461
erasure_write,1048576,erasure_coding_rs,1,0.006375789642333984
finished,1048576,erasure_coding_rs,1,0.007154226303100586
erasure_write,1048576,erasure_coding_rs,1,0.006110429763793945
finished,1048576,erasure_coding_rs,1,0.006911516189575195
erasure_write,1048576,erasure_coding_rs,1,0.007858753204345703
finished,1048576,erasure_coding_rs,1,0.00858449935913086
erasure_write,1048576,erasure_coding_rs,1,0.006456136703491211
finished,1048576,erasure_coding_rs,1,0.007153511047363281
erasure_write,1048576,erasure_coding_rs,1,0.006862163543701172
finished,1048576,erasure_coding_rs,1,0.007565975189208984
erasure_write,1048576,erasure_coding_rs,1,0.007354736328125
finished,1048576,erasure_coding_rs,1,0.008380413055419922
erasure_write,1048576,erasure_coding_rs,1,0.005746364593505859
finished,1048576,erasure_coding_rs,1,0.006419181823730469
erasure_write,1048576,erasure_coding_rs,1,0.005585908889770508
finished,1048576,erasure_coding_rs,1,0.0062503814697265625
erasure_write,1048576,erasure_coding_rs,1,0.005193948745727539
finished,1048576,erasure_coding_rs,1,0.005857706069946289
erasure_write,1048576,erasure_coding_rs,1,0.0059661865234375
finished,1048576,erasure_coding_rs,1,0.0066318511962890625
